u,v,grad_attr_score
0,3,0.40656596
1,4,0.1592267
1,4,0.3954721
1,4,0.22921923
1,4,0.16657369
1,4,0.3928959
1,4,1.2310817
1,4,0.09924098
1,4,0.61942744
1,4,0.67542744
1,4,0.55746275
2,5,3.3467128
2,5,5.4351583
2,5,0.4928267
1,4,0.51612014
2,5,0.45237222
1,4,0.46498764
1,4,0.0883943
1,4,0.09861505
1,4,1.01574
