hidden_dim,gat_heads,lstm_hidden,dropout,lr,weight_decay,val_accuracy,val_f1,val_recall,val_FAR,time_s
64,1,32,0.2,0.001,1e-05,0.6733306677329068,0.5391990975747321,0.9855670103092784,0.4017857142857141,12.684792518615723
64,1,32,0.2,0.0005,1e-05,0.7792882846861255,0.6213991769547325,0.934020618556701,0.2579365079365078,12.072453737258911
64,1,32,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.018397331237793
64,1,32,0.4,0.0005,1e-05,0.7249100359856058,0.5815085158150851,0.9855670103092784,0.3377976190476189,12.010240316390991
64,1,64,0.2,0.001,1e-05,0.30267892842862854,0.3574060427413412,1.0,0.8650793650793647,12.421970844268799
64,1,64,0.2,0.0005,1e-05,0.7157137145141943,0.5734853029394121,0.9855670103092784,0.3492063492063491,12.044552326202393
64,1,64,0.4,0.001,1e-05,0.8868452618952419,0.7659222497932175,0.954639175257732,0.12946428571428564,11.972314357757568
64,1,64,0.4,0.0005,1e-05,0.7672930827668932,0.6215864759427828,0.9855670103092784,0.28521825396825384,12.004318475723267
64,2,32,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.098501443862915
64,2,32,0.2,0.0005,1e-05,0.7221111555377849,0.5759609517998779,0.9731958762886598,0.33829365079365065,12.356055498123169
64,2,32,0.4,0.001,1e-05,0.7556977209116353,0.6029889538661468,0.9567010309278351,0.29265873015873,12.115156888961792
64,2,32,0.4,0.0005,1e-05,0.6917233106757297,0.5540775014459225,0.9876288659793815,0.37946428571428553,12.06855845451355
64,2,64,0.2,0.001,1e-05,0.774890043982407,0.6224010731052985,0.9567010309278351,0.2688492063492062,12.074889183044434
64,2,64,0.2,0.0005,1e-05,0.7680927628948421,0.6169088507265522,0.9628865979381444,0.27876984126984117,12.194224834442139
64,2,64,0.4,0.001,1e-05,0.53218712514994,0.450187969924812,0.9876288659793815,0.5773809523809521,12.04697585105896
64,2,64,0.4,0.0005,1e-05,0.68812475009996,0.5459837019790454,0.9670103092783505,0.3789682539682538,12.136356353759766
128,1,32,0.2,0.001,1e-05,0.570171931227509,0.45348246059989833,0.9195876288659793,0.5138888888888886,12.138875007629395
128,1,32,0.2,0.0005,1e-05,0.5169932027189125,0.44536271808999084,1.0,0.599206349206349,12.163486957550049
128,1,32,0.4,0.001,1e-05,0.4486205517792883,0.41043180846515603,0.9896907216494846,0.6815476190476187,12.300323009490967
128,1,32,0.4,0.0005,1e-05,0.19672131147540983,0.3256126216851292,1.0,0.9965277777777773,12.119130373001099
128,1,64,0.2,0.001,1e-05,0.6913234706117553,0.5458823529411765,0.9567010309278351,0.3725198412698411,12.091363906860352
128,1,64,0.2,0.0005,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.07412338256836
128,1,64,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.145812034606934
128,1,64,0.4,0.0005,1e-05,0.7824870051979208,0.6304347826086957,0.9567010309278351,0.25942460317460303,12.256427526473999
128,2,32,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.17145323753357
128,2,32,0.2,0.0005,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.44822907447815
128,2,32,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,11.997285842895508
128,2,32,0.4,0.0005,1e-05,0.6473410635745702,0.5211726384364821,0.9896907216494846,0.43501984126984106,12.101340770721436
128,2,64,0.2,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.241657495498657
128,2,64,0.2,0.0005,1e-05,0.7912834866053579,0.64,0.9567010309278351,0.24851190476190466,12.059668064117432
128,2,64,0.4,0.001,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,12.017984867095947
128,2,64,0.4,0.0005,1e-05,0.19392243102758897,0.32484929671801743,1.0,0.9999999999999996,11.998093843460083
