model,accuracy,precision,recall,f1,roc_auc,FAR,DR
TemporalGNN_Upgraded_Rank1,0.9522129570237332,0.9079646017699115,0.840983606557377,0.8731914893617021,0.9836902240698616,0.020733652312599674,0.8409836065573756
StackedMetaLR,0.9496472097498396,0.9066427289048474,0.8278688524590164,0.8654670094258783,0.9836902240698616,0.020733652312599674,0.827868852459015
